"author_id","author_name"
"3589",""
"48085","'Ido Netanyahu"
"26888","(Ed) Arthur   Blumenthal"
"39930","(Thomson Delmar Learning) Thomson Delmar Learning"
"24963","*Nsync"
"39063","-"
"50002","- Reeves Simon"
"25288","- Sutcliffe Owen"
"32975",". . Pearson Education"
"32960",". ITLS"
"26317","029"
"28279","100 Beste Plakate e. V."
"45516","101 Tips"
"30055","10Demates, Profesor"
"23759","1111 Paper Press"
"44628","125 Group"
"31919","1570 Publishing"
"2383","1804-1894.  Elizabeth Palmer Peabody"
"43614","1840-1927  John Scott Sir Keltie"
"3761","1945 Publishing"
"7128","1980 Dusseldorf> Spektrometertagung"
"3714","1stgrade Publishers"
"10161","1stworld Library"
"23204","2017-2018 Planner"
"23114","2018 Plannerz"
"3691","2019-2020 Planners"
"21564","2048 Books"
"47294","22 E Society"
"127","26 Ways"
"21431","3"
"28153","3 Doors Down"
"29400","3 Rs Publishers"
"45324","3.5"
"43677","365 Journals"
"23015","365 Planners"
"26052","3deluxe architecture"
"24950","3dtotal Team"
"40601","4 Legged Love"
"41655","401books"
"3828","401k"
"35261","404 Ink"
"22361","5 Crowns Essentials"
"6631","5 Seconds of Summer"
"6470","50 Cent"
"38202","50 Things To Know"
"17530","5th Edition Ford and Ford"
"2566","5th Grade Teacher t's Store"
"13709","62 Exam Secrets Test Prep Series"
"11699","6th Cent B C Sun-Tzu"
"2561","6th Grade Teacher t's Store"
"42137","7 Day Guides"
"6646","826 Valencia"
"12861","826 Valencia Writing Center"
"10240","99% Invisible"
"5359","@ Journals and Notebooks"
"50186","@1001recruittips"
"5187","@Journals Notebooks"
"23746","@chuchoti Paris"
"34101","@coachvalj Challenge Journals"
"8513","A  Jennifer Nielsen"
"33043","A A Brill"
"29690","A B Grimaldi"
"3906","A B Paterson"
"9387","A B Poland"
"46850","A Bader"
"25377","A Bakalian"
"30133","A Blanc and Company"
"50330","A Blayney Percival"
"18467","A Book by Me"
"36500","A C Coberly"
